PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
333,NA,18,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,17,18,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
336,NA,NA,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,17,18,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,10,12,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,10,12,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,NA,10,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,8,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
357,8,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,8,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,8,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365,8,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
368,NA,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369,NA,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,18,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,18,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
373,NA,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,NA,19,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
396,NA,19,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
417,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,20,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,20,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,20,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,20,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,21,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,21,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,21,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
429,20,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,20,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
436,22,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,22,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
455,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,23,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
475,24,20,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,24,20,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
479,24,20,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
482,21,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
483,21,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
488,25,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
491,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
493,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
497,26,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
498,26,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
500,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
506,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
507,27,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
508,27,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
512,27,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,27,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,NA,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
515,6,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517,19,9,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519,9,12,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
544,14,16,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
548,14,16,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,NA,16,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
553,28,13,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
554,28,13,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,NA,13,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560,16,11,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
568,NA,NA,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
576,NA,21,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577,NA,21,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,NA,21,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
583,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
585,NA,21,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
586,29,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,NA,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590,29,14,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
619,NA,NA,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
626,30,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,30,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
669,31,23,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
671,31,23,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
672,32,24,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,32,24,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676,NA,24,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
682,33,24,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
695,34,25,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
697,NA,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
702,NA,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
704,NA,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
710,NA,28,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
715,NA,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
717,NA,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
724,NA,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,NA,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,NA,22,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
731,35,27,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
737,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
743,NA,NA,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751,36,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
755,36,26,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
