"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
336,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,31,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,16,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,16,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,0,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
357,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
368,0,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369,0,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,32,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,32,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
373,0,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,0,34,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
396,0,34,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
429,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
436,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
475,9,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
