"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
321,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
325,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
327,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
328,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
329,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,38,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,24,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
336,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,24,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,24,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,20,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,20,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
357,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
368,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
373,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382,0,16,14,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,0,28,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
396,0,28,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
416,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
417,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
429,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
