PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
308,15,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
315,NA,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,12,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
325,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,NA,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
327,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
328,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
329,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,19,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,11,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,23,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
336,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,23,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,23,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,13,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,13,11,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,NA,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
357,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360,10,10,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
