PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
420,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
421,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
426,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
432,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
434,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
438,21,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
440,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
443,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
451,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
452,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
454,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
455,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
461,24,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
463,23,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
465,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466,25,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
467,25,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
468,25,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
473,26,21,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
475,26,21,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,26,21,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
488,24,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
489,24,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
490,24,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
493,NA,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
499,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
500,22,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
506,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
507,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
508,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
509,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
510,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
512,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,27,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
