"LimesLimits_ID_1";"Site_type";"X_coordinate_1";"Y_coordinate_1";"HCLASS_1";"LimesLimits_ID_2";"HCLASS_2";"X_coordinate_2";"Y_coordinate_2";"Distance"
1;"rural settlement";179520;417600;3.00;2112.00;5.00;180200;419520;2036.86
1;"rural settlement";179520;417600;3.00;6.00;6.00;179950;416600;1088.53
1;"rural settlement";179520;417600;3.00;7.00;6.00;179880;415860;1776.85
1;"rural settlement";179520;417600;3.00;2.00;7.00;182200;417225;2706.10
1;"rural settlement";179520;417600;3.00;4.00;5.00;180500;417500;985.08
1;"rural settlement";179520;417600;3.00;3.00;5.00;178540;418540;1357.93
1;"rural settlement";179520;417600;3.00;766.00;3.00;179730;420250;2658.30
2;"rural settlement";182200;417225;7.00;2120.00;4.00;181685;414556;2718.23
2;"rural settlement";182200;417225;7.00;24.00;4.00;183800;416300;1848.14
2;"rural settlement";182200;417225;7.00;10.00;5.00;182540;416940;443.64
2;"rural settlement";182200;417225;7.00;7.00;6.00;179880;415860;2691.76
2;"rural settlement";182200;417225;7.00;25.00;5.00;182850;417250;650.48
2;"rural settlement";182200;417225;7.00;6.00;6.00;179950;416600;2335.19
2;"rural settlement";182200;417225;7.00;4.00;5.00;180500;417500;1722.09
2;"rural settlement";182200;417225;7.00;1.00;3.00;179520;417600;2706.10
3;"rural settlement";178540;418540;5.00;2112.00;5.00;180200;419520;1927.69
3;"rural settlement";178540;418540;5.00;1.00;3.00;179520;417600;1357.93
3;"rural settlement";178540;418540;5.00;7.00;6.00;179880;415860;2996.33
3;"rural settlement";178540;418540;5.00;4.00;5.00;180500;417500;2218.82
3;"rural settlement";178540;418540;5.00;6.00;6.00;179950;416600;2398.27
3;"rural settlement";178540;418540;5.00;766.00;3.00;179730;420250;2083.31
4;"rural settlement; burial(s)";180500;417500;5.00;2112.00;5.00;180200;419520;2042.15
4;"rural settlement; burial(s)";180500;417500;5.00;10.00;5.00;182540;416940;2115.46
4;"rural settlement; burial(s)";180500;417500;5.00;1.00;3.00;179520;417600;985.08
4;"rural settlement; burial(s)";180500;417500;5.00;3.00;5.00;178540;418540;2218.82
4;"rural settlement; burial(s)";180500;417500;5.00;7.00;6.00;179880;415860;1753.28
4;"rural settlement; burial(s)";180500;417500;5.00;2.00;7.00;182200;417225;1722.09
4;"rural settlement; burial(s)";180500;417500;5.00;6.00;6.00;179950;416600;1054.75
4;"rural settlement; burial(s)";180500;417500;5.00;25.00;5.00;182850;417250;2363.26
4;"rural settlement; burial(s)";180500;417500;5.00;766.00;3.00;179730;420250;2855.76
6;"rural settlement";179950;416600;6.00;2112.00;5.00;180200;419520;2930.68
6;"rural settlement";179950;416600;6.00;2120.00;4.00;181685;414556;2681.07
6;"rural settlement";179950;416600;6.00;2121.00;3.00;181200;413900;2975.31
6;"rural settlement";179950;416600;6.00;10.00;5.00;182540;416940;2612.22
6;"rural settlement";179950;416600;6.00;7.00;6.00;179880;415860;743.30
6;"rural settlement";179950;416600;6.00;1.00;3.00;179520;417600;1088.53
6;"rural settlement";179950;416600;6.00;2.00;7.00;182200;417225;2335.19
6;"rural settlement";179950;416600;6.00;25.00;5.00;182850;417250;2971.95
6;"rural settlement";179950;416600;6.00;4.00;5.00;180500;417500;1054.75
6;"rural settlement";179950;416600;6.00;3.00;5.00;178540;418540;2398.27
7;"rural settlement";179880;415860;6.00;2120.00;4.00;181685;414556;2226.75
7;"rural settlement";179880;415860;6.00;2121.00;3.00;181200;413900;2363.04
7;"rural settlement";179880;415860;6.00;10.00;5.00;182540;416940;2870.88
7;"rural settlement";179880;415860;6.00;6.00;6.00;179950;416600;743.30
7;"rural settlement";179880;415860;6.00;2.00;7.00;182200;417225;2691.76
7;"rural settlement";179880;415860;6.00;4.00;5.00;180500;417500;1753.28
7;"rural settlement";179880;415860;6.00;1.00;3.00;179520;417600;1776.85
7;"rural settlement";179880;415860;6.00;3.00;5.00;178540;418540;2996.33
10;"rural settlement";182540;416940;5.00;1172.00;2.00;185450;417000;2910.61
10;"rural settlement";182540;416940;5.00;2114.00;2.00;185050;418300;2854.76
10;"rural settlement";182540;416940;5.00;2120.00;4.00;181685;414556;2532.68
10;"rural settlement";182540;416940;5.00;2.00;7.00;182200;417225;443.64
10;"rural settlement";182540;416940;5.00;25.00;5.00;182850;417250;438.40
