"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
630;178370;429840;"Ewijk";"De Woerdjes I";"rural settlement";10;745;965
631;177440;430480;"Ewijk";"Wolfsdarm";"rural settlement";10;873;995
653;177750;425560;"Wijchen";"De Pas II";"rural settlement";10;764;996
654;179750;430250;"Ewijk";"Koningsstraat II";"rural settlement; burial(s)?";10;242;747
656;170400;431050;"Molenhoek";"Molenhoek-West";"rural settlement";10;97;542
661;173750;426850;"Hernen";"De Wijnakker";"rural settlement, stone-built";10;290;578
665;176800;425300;"Leur";"Watertoren";"rural settlement; burial(s)?";10;962;1000
667;178475;425205;"Wijchen";"Holenbergseweg";"rural settlement; burial(s)";10;1000;1000
678;184980;441600;"Driel";"Marskamp";"rural settlement; burial(s)";10;94;511
692;182800;438640;"Homoet";"Salingsbouwing";"rural settlement";10;816;1000
699;188350;433750;"Ressen";"Kerkenhof";"rural settlement; burial(s)?";10;840;1000
704;184350;436600;"Lijnden";"Het Höfken";"rural settlement";10;1000;987
710;180250;435150;"Herveld";"De Legt";"rural settlement";10;1000;1000
713;183830;433680;"Slijk-Ewijk";"Akkerstraat";"rural settlement";10;1000;1000
722;187300;437100;"Elst";"Westeraam";"cult site; rural settlement?";10;667;700
737;184800;425390;"Hatert";"Hulzen I";"rural settlement; burial(s)";10;1000;1000
749;190450;435670;"Bemmel";"De Heuvel";"rural settlement";10;652;991
758;193150;426700;"Beek";"Smorenhoek";"rural settlement";10;1000;465
761;190290;427850;"Ubbergen";"Rijksstraatweg";"rural settlement";10;251;850
772;183960;420190;"Overasselt";"Worsumse Blok";"rural settlement";10;555;936
784;130925;455725;"De Meern";"Burgemeester Middelweerdbaan";"rural settlement";10;395;868
788;134750;454450;"Utrecht";"Kanaleneiland";"rural settlement";10;1000;0
794;132300;452100;"Nieuwegein";"Ringkade IV";"rural settlement";10;507;881
802;133950;451050;"Nieuwegein";"Batau-noord";"rural settlement";10;1000;1000
816;136700;432400;"Asperen";"Meerdijk";"rural settlement";10;1000;1000
824;138850;421950;"Aalst";"Eendenkade";"rural settlement";10;1000;1000
825;139125;421625;"Aalst";"Eendes";"rural settlement?";10;999;975
835;128970;455270;"De Meern";"Veldhuizen";"rural settlement; watchtower?";10;442;968
837;133000;456460;"Utrecht";"Sportpark Terweide";"rural settlement";10;844;0
847;129085;457210;"Vleuten";"Prins Hendrikweg";"rural settlement";10;134;505
1012;137440;418160;"Wijk en Aalburg";"Mussentiend";"rural settlement";10;996;1000
1015;133140;416300;"Genderen";"Voorste Hoofdveld";"rural settlement";10;1000;1000
1032;186700;434000;"Oosterhout";"Verloren Zeeg";"rural settlement";10;200;656
1033;185960;432960;"Oosterhout";"Stationsstraat";"rural settlement";10;977;1000
1039;184800;432000;"Oosterhout";"Smidskolk";"rural settlement";10;1000;904
1040;181100;430300;"Beuningen";"De Hosterd";"rural settlement; road?";10;730;998
1043;188300;430610;"Lent";"Azaleastraat";"rural settlement; burial(s)";10;996;64
1046;180450;426000;"Wijchen";"Palkerdijk";"rural settlement";10;1000;1000
1051;180190;423360;"Alverna";"Graafseweg II";"rural settlement";10;138;629
1052;180600;422800;"Alverna";"Vossenberg";"rural settlement";10;134;554
1076;192100;416850;"Plasmolen";"Kloosterberg";"rural settlement, stone-built";10;53;829
1080;191840;439410;"Huissen";"Loostraat II";"burial(s); rural settlement?";10;1000;999
1088;192430;428950;"Ooij";"Stenen Kamer";"rural settlement";10;1000;999
1104;199200;429900;"Millingen";"Eversberg";"rural settlement, stone-built";10;1000;1000
1121;162400;441620;"Ingen";"Hoog Kana";"rural settlement";10;393;923
1128;161900;439700;"Ommeren";"De Roskam";"rural settlement";10;996;996
1130;162850;439400;"Ommeren";"Zijveling";"rural settlement";10;983;1000
1144;192500;414950;"Milsbeek";"Bloemenstraat";"rural settlement";10;371;888
1152;179550;423400;"Wijchen";"Oosterweg";"rural settlement";10;93;632
1164;192000;414950;"Middelaar";"Kopseweg";"rural settlement";10;106;551
1166;187625;417450;"Cuijk";"De Nielt I";"rural settlement";10;544;316
1169;166494;420911;"Berghem";"Spaanderstraat";"rural settlement";10;998;1000
1170;167034;421597;"Berghem";"Oudenhofstraat";"rural settlement";10;1000;1000
2022;158150;446935;"Leersum";"Hervormde Kerk";"rural settlement";10;631;991
2035;163105;445395;"Elst";"Elsterberg";"rural settlement";10;1000;1000
2043;166260;441960;"Rhenen";"De Tangh";"burial(s); rural settlement?";10;374;1000
2049;168930;441710;"Rhenen";"Laarsenberg";"rural settlement";10;1000;0
2051;168720;442730;"Achterberg";"Dorpskom";"rural settlement";10;0;1000
2058;144286;439483;"Culemborg";"Lanxmeer";"rural settlement";10;1000;0
2063;147995;430350;"Meteren";"De Dell";"rural settlement";10;1000;1000
2067;163680;434860;"Echteld";"Het Spijker";"rural settlement?";10;272;845
2077;188200;437300;"Elst";"Vierslag";"rural settlement?";10;322;655
2078;178600;445100;"Renkum";"Quadenoord";"rural settlement; burial(s)?";10;104;577
2095;197938;439802;"Duiven";"Welleveld";"rural settlement";10;95;583
2097;198109;440799;"Duiven";"De Ploen";"rural settlement";10;277;677
2103;199929;430918;"Millingen";"Wilsonstraat";"rural settlement";10;462;715
2122;177133;422846;"Balgoij";"Van Cittersweg";"rural settlement?";10;490;982
2132;174250;429190;"Bergharen";"De Weem";"rural settlement";10;406;964
2155;169300;416080;"Schaijk";"Munse Heide";"rural settlement";10;1000;38
2173;150140;423810;"Rossum";"H.C. de Jonghweg";"rural settlement";10;904;1000
2176;140775;416950;"Hedikhuizen";"Maasdijk";"rural settlement";10;1000;1000
2177;136690;420010;"Spijk";"Dorp";"rural settlement";10;638;999
2180;132390;421500;"Neer-Andel";"Gemeentehuis";"rural settlement";10;1000;0
2186;145959;439820;"Beusichem";"Hoge Voorkoop II";"rural settlement?";10;892;0
2187;151250;434000;"Buren";"Mierlingsestraat";"rural settlement?";10;825;0
2190;183700;434700;"Elst";"Eimeren-Zuid";"rural settlement?";10;1000;997
3030;95150;464490;"Leiden";"Sumatrastraat";"rural settlement";10;1000;1000
3056;89022;462488;"Wassenaar";"Amerikaanse school";"rural settlement";10;1000;1000
3062;92475;460900;"Leiden";"Oostvlietpolder";"rural settlement";10;1000;1000
3071;102790;460800;"Hoorn";"Lemkes";"rural settlement; jetty?; road";10;314;957
3092;76780;448950;"Poeldijk";"Wateringseweg";"rural settlement, stone-built";10;51;821
3097;81100;449800;"Rijswijk";"H.J. van Mooklaan";"rural settlement";10;806;1000
3099;82300;449650;"Rijswijk";"De Bult";"rural settlement";10;1000;1000
3101;82825;449215;"Rijswijk";"Wilhelminapark";"rural settlement; burial(s)";10;971;1000
3104;84383;451994;"Rijswijk";"Hoornwijck";"rural settlement";10;998;1000
3105;84300;452500;"Leidschendam";"Leeuwenberg";"rural settlement; burial(s); cult place?";10;1000;1000
3110;79203;451890;"Den Haag";"Loevesteinlaan";"rural settlement";10;1000;1000
3111;77814;451646;"Den Haag";"Hertenrade";"rural settlement";10;1000;1000
3121;128800;458340;"Vleuten";"Haarzicht";"rural settlement";10;128;537
3125;118420;455380;"Woerden";"Barwoutswaarder West";"rural settlement; road";10;1000;1000
3137;79361;457159;"Den Haag";"Scheveningseweg";"rural settlement; military settlement";10;1000;1000
3159;135335;453717;"Utrecht";"Beneluxlaan";"rural settlement; road";10;1000;1000
3163;88550;468500;"Katwijk";"Cleijn Duin";"rural settlement";10;489;939
3172;76700;449690;"Den Haag";"Uithofslaan";"rural settlement";10;1000;1000
3173;77495;449799;"Den Haag";"Lozerlaan/Erasmusweg";"rural settlement; burial(s)?; cult place";10;1000;1000
3174;79800;449200;"Den Haag";"Oosteinde";"rural settlement; road";10;991;996
4017;132800;454000;"Utrecht";"Rijnvliet-Zuid Sportpark";"rural settlement?; cult site?";10;1000;0
4071;75385;449182;"Poeldijk";"Poeldijk Noordoost";"rural settlement; burial(s); road";10;1000;1000
4075;77219;448318;"Kwintsheul";"Holle Watering";"rural settlement";10;1000;1000
4076;78300;448700;"Wateringen";"Heulweg I";"rural settlement";10;55;563
4079;81590;448270;"Schipluiden";"Harnaschpolder II";"rural settlement";10;1000;1000
4080;75400;447400;"Honselersdijk";"Groene Laan";"rural settlement";10;164;815
4085;78320;446245;"Kwintsheul";"15 Hont";"rural settlement";10;51;528
4086;81130;446510;"'t Woudt";"Woudse Polder I";"rural settlement; road";10;1000;1000
4089;75157;445565;"Naaldwijk";"Trace Parc Westland Mars";"rural settlement; road?; canal?";10;375;874
4093;74729;444973;"Naaldwijk";"'t Zand Heultje";"rural settlement";10;1000;1000
4094;82060;444650;"Schipluiden";"Kerkpolder I";"rural settlement; road?";10;1000;1000
4099;74970;442152;"Maasdijk";"Honderdland";"rural settlement?";10;432;819
4101;77950;442510;"De Lier";"Kralingerpolder";"rural settlement";10;1000;1000
4103;78730;442540;"Gaag";"Kraaiennest II";"rural settlement";10;5;1000
4105;76060;441800;"Maasdijk";"Oude Campsweg";"rural settlement";10;1000;1000
4115;87133;439309;"Schiedam";"Oost-Abtspolder";"rural settlement";10;1000;1000
4118;86920;438085;"Schiedam";"A20";"rural settlement";10;30;803
4120;80180;437310;"Vlaardingen";"Aalkeet-Buitenpolder II";"rural settlement";10;1000;1000
4121;80670;437155;"Vlaardingen";"Aalkeet-Buitenpolder III";"rural settlement";10;997;1000
4122;82440;436961;"Vlaardingen";"Hoogstad I";"rural settlement; waterworks";10;1000;1000
4124;85420;437870;"Kethel";"Hargpolder III";"rural settlement";10;1000;1000
4126;78627;436197;"Vlaardingen";"Aalkeet-Binnenpolder";"rural settlement";10;700;997
4129;80870;436632;"Vlaardingen";"Aalkeet-Buitenpolder V";"rural settlement";10;89;517
4132;80268;435694;"Vlaardingen";"Vergulde Hand West I";"rural settlement";10;1000;1000
4135;85920;443980;"Delft";"Lage Abtswoudse Polder I";"rural settlement";10;825;1000
4140;86660;443935;"Delft";"Rotterdamseweg";"rural settlement; road?";10;1000;1000
4143;78830;443670;"Schipluiden";"Oostbuurt I";"rural settlement";10;988;0
4145;112475;426128;"Sliedrecht";"Centrum";"rural settlement?";10;344;947
4146;111550;425430;"Sliedrecht";"Ronduitpolder";"rural settlement?";10;216;992
4147;110500;429650;"Wijngaarden";"Molengaard";"rural settlement";10;29;1000
4148;109900;429550;"Oud-Alblas";"Peilmolenweg";"rural settlement";10;341;957
4149;106650;429760;"Oud-Alblas";"Vinkepolder";"rural settlement; road?";10;123;750
4153;105320;429400;"Alblasserdam";"Kabelfabriek";"rural settlement";10;1000;1000
4154;107550;427400;"Papendrecht";"Zwembad";"rural settlement";10;30;735
4156;99820;426930;"Kleine Lindt";"Devel";"rural settlement";10;1000;1000
4158;93572;428811;"Barendrecht";"Carnisselande";"rural settlement; waterworks";10;1000;1000
4159;87350;431275;"Poortugaal";"Zwaardijk";"rural settlement";10;611;975
