"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
496;141950;452030;"Bunnik";"Groeneweg / Achterdijk";"rural settlement";10;1000;1000
509;137410;450330;"Houten";"Langeweg";"rural settlement; road?";10;861;999
510;136900;450500;"Laagraven";"Koppelveld";"rural settlement";10;542;934
511;136920;449900;"Laagraven";"Heemsteedse Weg";"rural settlement";10;994;1000
516;139700;448560;"Houten";"Julianaweg";"rural settlement";10;845;998
524;150100;444550;"Cothen";"Wilhelminahoeve";"rural settlement";10;1000;1000
543;146900;431050;"Meteren";"Boog D-Noord";"rural settlement";10;800;996
549;154900;440000;"Maurik";"Essenbos";"rural settlement";10;889;1000
552;158310;442590;"Eck en Wiel";"Oude Hofstede";"rural settlement";10;854;1000
558;158210;439760;"Maurik";"'t Haagje";"rural settlement";10;986;1000
559;157450;437500;"Zoelen";"Rooyenstein";"rural settlement";10;1000;1000
562;140250;423480;"Nieuwaal";"Middelkampseweg";"rural settlement";10;996;954
579;143600;420670;"Kerkwijk";"Hof van Aalderwijk";"rural settlement";10;955;409
593;175270;438030;"Hemmen";"De Grote Wuust";"rural settlement";10;563;472
596;178480;440000;"Randwijk";"De Hoge Asterd";"rural settlement";10;981;477
606;179150;435650;"Andelst";"De Hoge Hof";"rural settlement";10;299;502
609;176000;435300;"Wely";"Het Höfke";"rural settlement";10;431;775
611;170410;433780;"Druten";"Brouwerstraat";"rural settlement";10;995;1000
613;176110;433250;"Winssen";"Oude Veerhuis";"rural settlement, stone-built";10;173;834
620;174210;433550;"Deest";"Grotestraat";"rural settlement, stone-built?";10;233;910
629;178780;429820;"Ewijk";"De Hoge Woerd";"rural settlement";10;1000;1000
630;178370;429840;"Ewijk";"De Woerdjes I";"rural settlement";10;745;965
631;177440;430480;"Ewijk";"Wolfsdarm";"rural settlement";10;873;995
636;174850;425550;"Leur";"Fleerde";"rural settlement";10;781;993
653;177750;425560;"Wijchen";"De Pas II";"rural settlement";10;764;996
654;179750;430250;"Ewijk";"Koningsstraat II";"rural settlement; burial(s)?";10;242;747
656;170400;431050;"Molenhoek";"Molenhoek-West";"rural settlement";10;97;542
659;175600;427300;"Hernen";"De Loffert II";"rural settlement";10;841;996
661;173750;426850;"Hernen";"De Wijnakker";"rural settlement, stone-built";10;290;578
665;176800;425300;"Leur";"Watertoren";"rural settlement; burial(s)?";10;962;1000
667;178475;425205;"Wijchen";"Holenbergseweg";"rural settlement; burial(s)";10;1000;1000
673;187330;438020;"Elst";"Groenoord";"rural settlement";10;1000;1000
677;184700;441800;"Driel";"Ooijevaarsnest";"rural settlement; burial(s)?";10;995;1000
678;184980;441600;"Driel";"Marskamp";"rural settlement; burial(s)";10;94;511
692;182800;438640;"Homoet";"Salingsbouwing";"rural settlement";10;816;1000
699;188350;433750;"Ressen";"Kerkenhof";"rural settlement; burial(s)?";10;840;1000
712;188280;436550;"Elst";"Aam";"rural settlement";10;942;999
713;183830;433680;"Slijk-Ewijk";"Akkerstraat";"rural settlement";10;1000;1000
719;186925;432680;"Oosterhout";"Griftdijk I";"rural settlement; burial(s)";10;1000;1000
722;187300;437100;"Elst";"Westeraam";"cult site; rural settlement?";10;667;700
730;182400;429800;"Beuningen";"Reekstraat";"rural settlement, stone-built";10;986;999
732;181160;425780;"Wijchen";"Teersdijk";"rural settlement";10;954;1000
749;190450;435670;"Bemmel";"De Heuvel";"rural settlement";10;652;991
750;190450;434200;"Bemmel";"Het Hoog";"rural settlement";10;994;1000
758;193150;426700;"Beek";"Smorenhoek";"rural settlement";10;1000;465
761;190290;427850;"Ubbergen";"Rijksstraatweg";"rural settlement";10;251;850
772;183960;420190;"Overasselt";"Worsumse Blok";"rural settlement";10;555;936
789;130740;452150;"Nieuwegein";"Ringkade I";"rural settlement";10;941;997
791;130100;451250;"IJsselstein";"Noord-IJsseldijk I";"rural settlement";10;991;1000
794;132300;452100;"Nieuwegein";"Ringkade IV";"rural settlement";10;507;881
797;132050;450650;"Nieuwegein";"Nedereindseweg III";"rural settlement";10;893;999
800;133800;450800;"Nieuwegein";"Weiland";"rural settlement";10;987;1000
806;132800;449700;"Nieuwegein";"Rijksweg";"rural settlement";10;346;871
816;136700;432400;"Asperen";"Meerdijk";"rural settlement";10;1000;1000
824;138850;421950;"Aalst";"Eendenkade";"rural settlement";10;1000;1000
825;139125;421625;"Aalst";"Eendes";"rural settlement?";10;999;975
833;127920;457110;"Vleuten";"'t Hoog";"rural settlement";10;717;963
835;128970;455270;"De Meern";"Veldhuizen";"rural settlement; watchtower?";10;442;968
847;129085;457210;"Vleuten";"Prins Hendrikweg";"rural settlement";10;134;505
855;129700;452650;"Nieuwegein";"Steenen Kamer";"rural settlement";10;826;991
857;129950;451750;"IJsselstein";"Noord-IJsseldijk II";"rural settlement";10;480;910
1012;137440;418160;"Wijk en Aalburg";"Mussentiend";"rural settlement";10;996;1000
1020;136550;415650;"Heesbeen";"Het Oude Maasje";"rural settlement, stone-built?";10;985;1000
1031;186200;433700;"Oosterhout";"De Grift";"rural settlement";10;570;918
1032;186700;434000;"Oosterhout";"Verloren Zeeg";"rural settlement";10;200;656
1033;185960;432960;"Oosterhout";"Stationsstraat";"rural settlement";10;977;1000
1036;188150;431660;"Lent";"Smitjesland";"rural settlement";10;422;822
1040;181100;430300;"Beuningen";"De Hosterd";"rural settlement; road?";10;730;998
1043;188300;430610;"Lent";"Azaleastraat";"rural settlement; burial(s)";10;996;64
1046;180450;426000;"Wijchen";"Palkerdijk";"rural settlement";10;1000;1000
1051;180190;423360;"Alverna";"Graafseweg II";"rural settlement";10;138;629
1052;180600;422800;"Alverna";"Vossenberg";"rural settlement";10;134;554
1056;182550;422050;"Overasselt";"Scheiwal";"rural settlement, stone-built; burial(s)";10;1000;1000
1076;192100;416850;"Plasmolen";"Kloosterberg";"rural settlement, stone-built";10;53;829
1088;192430;428950;"Ooij";"Stenen Kamer";"rural settlement";10;1000;999
1096;196950;427800;"Leuth";"Leuth-Zuid";"rural settlement";10;994;1000
1098;197400;428300;"Leuth";"Plezenburg";"rural settlement; road?";10;281;767
1099;197500;428700;"Leuth";"Puthorst";"rural settlement";10;275;779
1100;197900;429300;"Kekerdom";"Groote Both";"rural settlement";10;812;992
1102;198700;430400;"Kekerdom";"Kapittelhof";"rural settlement";10;926;1000
1104;199200;429900;"Millingen";"Eversberg";"rural settlement, stone-built";10;1000;1000
1121;162400;441620;"Ingen";"Hoog Kana";"rural settlement";10;393;923
1128;161900;439700;"Ommeren";"De Roskam";"rural settlement";10;996;996
1130;162850;439400;"Ommeren";"Zijveling";"rural settlement";10;983;1000
1135;165250;438450;"Lienden";"Nelly's Hof";"rural settlement";10;726;975
1139;192750;416050;"Milsbeek";"Pastoorsdijk";"rural settlement";10;994;1000
1144;192500;414950;"Milsbeek";"Bloemenstraat";"rural settlement";10;371;888
1145;196400;412700;"Ottersum";"Sportterrein";"rural settlement";10;782;988
1148;194800;412600;"Gennep";"Stamelberg";"rural settlement; burial(s)";10;163;937
1151;192100;413150;"Oeffelt";"Cuijkseweg I";"rural settlement";10;683;974
1152;179550;423400;"Wijchen";"Oosterweg";"rural settlement";10;93;632
1164;192000;414950;"Middelaar";"Kopseweg";"rural settlement";10;106;551
1166;187625;417450;"Cuijk";"De Nielt I";"rural settlement";10;544;316
2016;152970;444060;"Wijk bij Duurstede";"Landscheidingsweg";"rural settlement";10;965;1000
2022;158150;446935;"Leersum";"Hervormde Kerk";"rural settlement";10;631;991
2025;150755;444090;"Wijk bij Duurstede";"Witte Leuningen";"rural settlement; road";10;1000;1000
2048;169460;441670;"Rhenen";"Levendaalseweg";"rural settlement";10;1000;1000
2049;168930;441710;"Rhenen";"Laarsenberg";"rural settlement";10;1000;0
2058;144286;439483;"Culemborg";"Lanxmeer";"rural settlement";10;1000;0
2063;147995;430350;"Meteren";"De Dell";"rural settlement";10;1000;1000
2065;158400;436480;"Medel";"Grotebrugse Grindweg";"rural settlement";10;392;901
2067;163680;434860;"Echteld";"Het Spijker";"rural settlement?";10;272;845
2077;188200;437300;"Elst";"Vierslag";"rural settlement?";10;322;655
2078;178600;445100;"Renkum";"Quadenoord";"rural settlement; burial(s)?";10;104;577
2091;196500;434980;"Doornenburg";"Koffiemolen";"rural settlement";10;994;1000
2097;198109;440799;"Duiven";"De Ploen";"rural settlement";10;277;677
2103;199929;430918;"Millingen";"Wilsonstraat";"rural settlement";10;462;715
2105;192250;429350;"Persingen";"Circul van Ooij";"rural settlement";10;556;952
2106;193500;421365;"Groesbeek";"Hüsenhoff";"rural settlement; cult site?; burial(s)";10;944;1000
2117;187788;415962;"Cuijk";"Groot Heiligenberg";"rural settlement";10;868;997
2118;190050;413800;"Cuijk";"Messemaker";"rural settlement";10;462;874
