"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
198,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,21,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
253,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
261,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
291,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
297,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
298,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
307,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
315,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
316,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
317,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
319,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
325,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
327,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
328,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
329,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
331,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
332,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
336,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
338,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
344,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
351,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
