PlcIndex,ClstRad1,ClstRad2,ClstRad3,ClstRad4,ClstRad5,ClstRad6,ClstRad7,ClstRad8,ClstRad9,ClstRad10,ClstRad11,ClstRad12,ClstRad13,ClstRad14,ClstRad15,ClstRad16,ClstRad17,ClstRad18,ClstRad19,ClstRad20
195,26,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,26,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,27,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,27,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,26,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,26,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,28,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,28,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,28,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,29,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,30,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
253,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,32,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
261,32,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,33,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,30,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285,30,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
291,30,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
297,23,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
298,23,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299,23,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
307,17,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,16,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310,30,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
315,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
316,27,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
317,21,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
319,34,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,21,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
325,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
327,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
328,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
329,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,31,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
331,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
332,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,20,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,18,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
336,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,18,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
338,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,18,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,22,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,22,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
344,NA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
